imdb_id,title,year,id,name,character
tt4699982,Rebellion,2016.0,nm0269923,Michael Feast,Aeron Greyjoy
tt4699982,Rebellion,2016.0,nm0568400,Ian McElhinney,Barristan Selmy
tt4699982,Rebellion,2016.0,nm0265610,Michelle Fairley,Catelyn Stark
tt4699982,Rebellion,2016.0,nm0734498,Lalor Roddy,Catspaw Assassin
tt4699982,Rebellion,2016.0,nm5697839,Jed Murray,Northman Rioter
tt4699982,Rebellion,2016.0,nm6316115,Ruairí Heading,Night's Watchman #2
tt4699982,Rebellion,2016.0,nm4335246,Faolan Morga,Stark Guard
tt4699982,Rebellion,2016.0,nm1788152,Brendan McCormack,Vardis Egen
tt4699982,Rebellion,2016.0,nm2228622,Marcus Lam,Night's Watchman
tt5539140,Joan of Arc: God's Warrior,2015.0,nm0269923,Michael Feast,Aeron Greyjoy
tt2006040,A Fantastic Fear of Everything,2012.0,nm0269923,Michael Feast,Aeron Greyjoy
tt1316616,There Be Dragons,2011.0,nm0269923,Michael Feast,Aeron Greyjoy
tt1316616,There Be Dragons,2011.0,nm0001097,Charles Dance,Tywin Lannister
tt0810823,The Deaths of Ian Stone,2007.0,nm0269923,Michael Feast,Aeron Greyjoy
tt1043496,Sinking of the Lusitania: Terror at Sea,2007.0,nm0269923,Michael Feast,Aeron Greyjoy
tt0472160,Penelope,2006.0,nm0269923,Michael Feast,Aeron Greyjoy
tt0472160,Penelope,2006.0,nm0001290,Richard E. Grant,Izembaro
tt0472160,Penelope,2006.0,nm1218607,Burn Gorma,Karl Tanner
tt0472160,Penelope,2006.0,nm0227759,Peter Dinklage,Tyrion Lannister
tt0481459,The Virgin Queen,2006.0,nm0269923,Michael Feast,Aeron Greyjoy
tt0481459,The Virgin Queen,2006.0,nm0700059,Robert Pugh,Craster
tt0481459,The Virgin Queen,2006.0,nm0408591,Ralph Ineso,Dagmer Cleftjaw
tt0481459,The Virgin Queen,2006.0,nm0001216,Tara Fitzgerald,Selyse Baratheon
tt0481459,The Virgin Queen,2006.0,nm0162281,Enzo Cilenti,Yezzan zo Qaggaz
tt0338806,Warrior Queen,2003.0,nm0269923,Michael Feast,Aeron Greyjoy
tt0362192,State of Play,2003.0,nm0269923,Michael Feast,Aeron Greyjoy
tt0362192,State of Play,2003.0,nm0564920,Rory McCa,Sandor Clegane
tt0326870,Fields of Gold,2002.0,nm0269923,Michael Feast,Aeron Greyjoy
tt0251806,Long Time Dead,2002.0,nm0269923,Michael Feast,Aeron Greyjoy
tt0256531,Young Blades,2001.0,nm0269923,Michael Feast,Aeron Greyjoy
tt0181212,Don Quixote,2000.0,nm0269923,Michael Feast,Aeron Greyjoy
tt0181212,Don Quixote,2000.0,nm0535837,Francis Magee,Yoren
tt0236921,Reach for the Moon,2000.0,nm0269923,Michael Feast,Aeron Greyjoy
