id,name,country,code,gender,year,p1,p2,p3,p4,p5,p6,score,rank,medal
10976,Géza Kós ♂,Hungary,HUN,♂,1985,7,7,7,7,7,7,42,1,Gold medal
11934,Daniel Tătaru ♂,Romania,ROU,♂,1985,7,7,7,7,7,7,42,1,Gold medal
1394,Gábor Megyesi ♂,Hungary,HUN,♂,1985,7,7,3,7,7,7,38,3,Gold medal
11837,Nikolai Ivanov Chavdarov ♂,Bulgaria,BGR,♂,1985,7,7,2,7,7,7,37,4,Gold medal
11826,Philippe Alphonse,Belgium,BEL,,1985,7,7,1,7,7,7,36,5,Gold medal
12379,Olga Leonteva ♀,Union of Soviet Socialist Republics,USS,♀,1985,7,7,7,7,1,7,36,5,Gold medal
9598,Andrew Hassell ♂,Australia,AUS,♂,1985,7,7,0,7,7,7,35,7,Gold medal
11832,Vasil Borisov Daskalov ♂,Bulgaria,BGR,♂,1985,7,7,0,7,7,7,35,7,Gold medal
9626,Waldemar Horwat ♂,United States of America,USA,♂,1985,7,7,7,7,0,7,35,7,Gold medal
12401,Nguyễn Tiến Dũng,Vietnam,VNM,,1985,7,7,2,7,7,5,35,7,Gold medal
11884,Hagen von Eitzen ♂,Germany,GER,♂,1985,3,7,7,7,3,7,34,11,Gold medal
12365,Răzvan Gelca ♂,Romania,ROU,♂,1985,7,7,1,7,7,5,34,11,Gold medal
11932,Radu Negulescu ♂,Romania,ROU,♂,1985,7,7,3,7,4,6,34,11,Gold medal
1411,Jeremy Kahn ♂,United States of America,USA,♂,1985,7,7,2,7,4,7,34,11,Gold medal
1429,Ivan Kolev Dimitrov ♂,Bulgaria,BGR,♂,1985,7,7,7,2,2,7,32,15,Silver medal
9618,Ulrich Meister ♂,German Democratic Republic,GDR,♂,1985,7,7,6,7,0,5,32,15,Silver medal
11635,Mugurel Barcău ♂,Romania,ROU,♂,1985,7,7,1,3,7,7,32,15,Silver medal
11112,Matthew John Richards ♂,United Kingdom,UNK,♂,1985,7,7,1,7,7,3,32,15,Silver medal
12290,Laurent Rosas ♂,France,FRA,♂,1985,7,7,1,7,2,7,31,19,Silver medal
1463,Louis Funar ♂,Romania,ROU,♂,1985,7,7,2,4,7,4,31,19,Silver medal
9627,Bjorn Poonen ♂,United States of America,USA,♂,1985,7,7,7,2,1,7,31,19,Silver medal
1462,Ori Ganor ♂,Israel,ISR,♂,1985,7,7,1,4,7,3,29,22,Silver medal
12380,Oleg Bondarenko ♂,Union of Soviet Socialist Republics,USS,♂,1985,7,7,0,7,7,1,29,22,Silver medal
